Section,Room,Hour,Minute,Title,Presenter,,,
A,A,8,30,Genomics recombination and population structure inference,Peter Beerli,,,
A,A,8,35,Phylogeography and conservation genetics of black mangroves (Avicennia germinans) in Florida,Richard Hodel,,,
A,A,8,40,Phylogeny phylogeography and diversification patterns in Liolaemus lineomaculatus section (Iguania:Squamata: Liolaemini) from austral South America (Patagonia),Maria Breitman,,,
A,A,8,45,spedeSTEM 2.0: New improved &; more fun than ever!,Bryan Carstens,,,
A,A,8,50,Using computer simulations to explore the population genetic consequences of increasing landscape-scale disturbance frequency,Ivan Phillipsen,,,
A,A,8,55,Simulated historical demographic scenarios of an Atlantic Forest endemic passerine bird,Ana Fazza,,,
A,A,9,00,Strophurus (Gekkota; Diplodactylidae) - into the trees again? Speciation and dispersal in response to Australian aridification.,Stuart Nielsen,,,
A,A,9,05,Parsing Polyphyletic Pueraria: Delimiting Distinct Evolutionary Lineages Through Phylogeny,Ashley Egan,,,
A,A,9,10,Mitochondrial Introgression and the Perils of DNA Barcoding,Dominik Halas,,,
A,A,9,15,Multiple origins of introduced Puerto Rican Bank  frogs in St. Croix and Panama,Brittany Barker,,,
A,A,9,20,Cancellation,Cancellation,,,
A,A,9,25,The Use of Molecular-based Data as an Emergent Approach in Ecological and Evolutionary Studies in Brazilian Herpetofauna: a Phylogeographic Essay,Rodrigo De Mello,,,
A,A,9,30,Evolution and populationgenomics of the Boa constrictor and comparisons between island and mainland population pairs,Daren Card,,,
A,A,9,35,Using genome-wide SNPs to test mtDNA-based hypotheses of gene flow and population structure in Western Diamondback Rattlesnakes (Crotalus atrox),Drew Schield,,,
A,A,9,40,Comparative phylogeography of Central American freshwater fishes,Justin Bagley,,,
A,A,9,45,Higher density SNP mapping in Chinook salmon allows broad and fine-scale resolution of population differentiation,Mariah Meek,,,
A,A,9,50,Diversification and gene flow in island and mainland Tamiasciurus spp. ‰ÛÒ unraveling the mystery of Vancouver Island‰Ûªs squirrels,Andreas Chavez,,,
A,A,9,55,Where and when do plasticity and genetic adaptability promote persistence? Integrating genomics and phenomics in Pelargonium to understand trait evolution under environmental change,Caroline Chong,,,
B,B,8,30,Reproductive isolation between Mimulus guttatus and M. glaucescens,Christopher Ivey,,,
B,B,8,35,Polymorphism in the couch potato gene mediates life historyplasticity in Drosophila melanogaster,Katherine O'Brien,,,
B,B,8,40,Phenotypic and Genetic Trade-Offs Between Flowering and Vegetative Growth in Mimu,Alex Twyford,,,
B,B,8,45,Using function-valued trait approaches to analyze the response to domestication selection.,Barrie Robinson,,,
B,B,8,50,Skin Hydrocarbons calling intensity and mate choice between the field crickets Gryllus firmus and G. pennsylvanicus,Luana Maroja,,,
B,B,8,55,Patterns of gene expression variation in Arabidopsis thaliana as revealed by allele-specific transcriptome sequencing,Robert Greenhalgh,,,
B,B,9,00,The younger games:flies compete for oviposition sites that benefit their young,Jason Borchert,,,
B,B,9,05,On the findability of genotypes,David McCandlish,,,
B,B,9,10,Seasonal and temporal immune adaptations in wild Drosophila,Emily Berhman,,,
B,B,9,15,Can brief exposure to a predator induce persistent personality shifts in livebearing fishes from different predation environments?,Jeremy Rehm,,,
B,B,9,20,Inferring demography and selection in EastAfrican Anopheles gambiae using genome-wideSNPs from RADseq.,Samantha O'Loughlin,,,
